name,website,facebook,street,city,county,state,zip
3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,123 W. Illinois ave. ,Morris,Grundy,Illinois,60450
30A Farmers' Market,,https://www.facebook.com/30aFarmersMarket?ref=hl,Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,32461
32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218
33rd and Diamond Farmers' Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121
38th & Meridian Farmers Market,,,3808 North Meridian Street,Indianapolis,Marion,Indiana,46208
3rd & Curry St. Farmers Market,http://www.carsonfarmersmarket.com,,3rd & Curry Street,Carson City,Carson City,Nevada,89703
4th and Lehigh Farmers' Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133
4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,,315 East 4th St.,Larimer,,Colorado,
52 & Shadeland Avenue Farmers Market,,,5200 N. Shadeland Avenue,Indianapolis,,Indiana,46226
52nd and Haverford Farmers' Market,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139
57th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,W 57 St. & 9 Ave,New York,New York,New York,10019
58th and Chester Farmers' Market,http://thefoodtrust.org/farmers-markets/market/58th-chester,,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143
61st Street Farmers Market,http://www.experimentalstation.org/farmers-market,https://www.facebook.com/61stStreetFarmersMarket,6100 S Blackstone,Chicago,Cook,Illinois,60637
6th Ave Farmers Market,http://www.tacomafarmersmarket.com,https://www.facebook.com/TacomaFarmersMarket,6th and Pine,Tacoma,Pierce,Washington,98406
79th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024
82nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,E 82nd St. - 1st & York Ave,New York,New York,New York,10028
84 west farmers market (Dothan),,,,Dothan,Houston,Alabama,
8th Avenue City Farmers Market,,,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401
92nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128
97th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,W 97 St. & Columbus,New York,New York,New York,10025
9th West Farmers Market,http://www.9thwestfarmersmarket.org,https://www.facebook.com/9thwestfarmersmarket,1000 South 900 West,SALT LAKE CITY,Salt Lake,Utah,84110
A + Organic Farmers Market,http://organicgrowndirect.com/,https://www.facebook.com/OrganicProduceDelivery,Lee Rd. Farm,Boynton Beach ,Palm Beach,Florida,33473
A Better Choice Bakery & Market,,https://www.facebook.com/nottinghamfarmersmarket,27 W Potomac Street,Brunswick,Frederick,Maryland,21716
A Growers' Market,,,229 Lake Ella Drive,Tallahassee ,Leon,Florida,32303
A Kentucky Farmer's Market LLC,,,2349 S Hwy 127,Russell Springs,Russell,Kentucky,42642
AAFFA Community Farmers Market,,https://www.facebook.com/pages/Anderson-Area-Farm-Food-Association/431344110224404,402 North Murray Avenue,Anderson,Anderson,South Carolina,29624
AAMC Farmers's Market,,,"2001 Medical Parkway, Sajak Pavilion",Annapolis,Anne Arundel,Maryland,21401
Abbeville Farmers Market,,,118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,29620
ABBEVILLE FARMERS MARKET,,https://www.facebook.com/pages/Abbeville-Farmers-Market/234180039938887,Kirkland Street,Abbeville ,Henry,Alabama,
Abbotsford Farmers Market,,,1011 East Spruce St.,Abbotsford,Clark,Wisconsin,54405
Abbott Northwestern Farmers Market,http://www.iatp.org/minimarkets,,800 E 28th St,Minneapolis,Hennepin,Minnesota,
Aberdeen Farmers Market,http://www.dakotaflavor.com/category.asp?catid=12,,"2nd Ave., S.E. & S. Lincoln Street",Aberdeen,Brown,South Dakota,57401
Abilene Farmers Market,,,East 1st & Buckeye St.,Abilene,Dickinson,Kansas,67410
Abingdon Farmers Market,http://www.abingdonfarmersmarket.com,https://www.facebook.com/abingdonfarmersmarket,Remsburg Drive and Cummings Street,Abingdon,Washington,Virginia,24210
Abingdon Square Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,W12 St. & 8th Ave,New York,New York,New York,10014
Abington,http://www.abingtonsage.com,,362 Plymouth Street,Abington,Plymouth,Massachusetts,2351
Abington Farmers Market,,,12055 Rose Drove,Clarks Summit,Lackawanna,Pennsylvania,
ABQ Uptown Growers' Market,http://www.abquptowngrowersmarket.org,,NE parking lot of ABQ Uptown shopping center,Albququerque,Bernalillo,New Mexico,
ABV Farm Market,http://www.appleblossomvillage.com/,https://www.facebook.com/pages/Apple-Blossom-Village/105223639518965,690 Allegheny Road,Mount Bethe,,Pennsylvania,18343
Acadia Farmers' Market in Town Hill,,www.Facebook.com/AcadiaFarmersMarket,,Town Hill,Hancock,Maine,
Acadiana Farmers Market,,,801 Foreman Drive,Opelousas,Lafayette,Louisiana,70570
Ace Farmers Market,,,115 Black River Blvd,Rome,Oneida,New York,
Acme Ranch Truck Patch,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1877,,RR1 Box 146,Birch Tree,Shannon,Missouri,65438
Acton-Boxborough Farmers Market,http://www.ABFarmersMarket.org,,1 Pearl St,Acton,Middlesex,Massachusetts,1720
Acushnet Farmers Market ,http://www.acushnetfarmersmarket.com,https://www.facebook.com/pages/Acushnet-Farmers-Market/104135469618299,186 Leonard Street,Acushnet,Bristol,Massachusetts,2743
Acworth Farmers Market,,,Main and Lemon Streets,Acworth,Cobb,Georgia,
Ada Farmer's Market,,,12th Street and Townsend,Ada,Pontotoc,Oklahoma,74820
Ada Farmers' Market,http://www.adafarmersmarket.com,https://www.facebook.com/adafarmersmarket,7239 Thornapple River Dr.,Ada,Kent,Michigan,49301
AdairCo Farmers Market,,,"409 Fairground Street, Adair County co-op ext service parking lot",Columbia,Adair County,Kentucky,
Adairsville Farmers' Market,http://www.adairsvillefarmersmarket.com,Adairsville Farmers Market,7446 Ga 140,Adairsville,Bartow,Georgia,30103
Adams County Farmers' Market Association,http://www.acfarmersmarkets.org,https://www.facebook.com/AdamsCountyFarmFreshMarkets,"Gettysburg Heritage Center, 297 Steinwehr Ave. ",Gettysburg,Adams,Pennsylvania,17325
Adams County Farmers' Market Association (PA),http://www.acfarmersmarkets.org,https://www.facebook.com/AdamsCountyFarmFreshMarkets,1863 Gettysburg Village Drive,Gettysburg,Adams,Pennsylvania,17325
Adams Farmers' & Artisans' Market,,https://www.facebook.com/Adams.Farmers.Market,Adams Visitors Center  3 Hoosac St,Adams,Berkshire,Massachusetts,1220
Adams Morgan Farmers Market,http://www.lickingcreekbendfarm.com,,18th St. and Columbia Rd. NW,Washington,District of Columbia,District of Columbia,20009
Adaptations' Fresh Feast,http://www.adaptationsaloha.com,https://www.facebook.com/adaptationsaloha,79-7500 Mamalahoa Highway,Kealakekua,Hawaii,Hawaii,96750
Added Value Farm Stand at Governors Island,,,Gresham Rd,Brooklyn,Kings,New York,11231-1235
Addison Farmers Market,,,One Friendship Plaza,Addison,DuPage,Illinois,60101
Adel Farmers Market,,,Courthouse Square,Adel,Dallas,Iowa,50830
Adelanto Stadium Farmers Market,,,Hwy 395 & Rancho Drive,Victorville,San Bernardino,California,92392
Adrian Farmers Market,,https://www.facebook.com/pages/Adrian-Farmers-Market/117334311628007,115 Toledo Street,Adrian,,Michigan,49221
Afton Village Farmers Market,http://www.piedmont-farmersmarket.com,,5401 Village Dr,Concord,Cabarrus,North Carolina,28027
AGH Wellness Committee Farmer's Market,,,9733 Healthway Drive,Berlin,Worcester,Maryland,21811
Agricenter International Farmers Market,http://www.agricenter.org,https://www.facebook.com/pages/Agricenter-International/140007209346379?ref=hl,7777 Walnut Grove Road,Memphis,Shelby,Tennessee,38120
Agritopia Farm Stand,http://www.agritopia.com,,3000 E. Ray Road (Higley & Ray),Gilbert,Maricopa,Arizona,85233
Ahwatukee Farmers Market,http://arizonacommunityfarmersmarkets.com,https://www.facebook.com/pages/Ahwatukee-Farmers-Market/153970741286177,4700 E. Warner Rd.,Phoenix,Maricopa,Arizona,85033
Aiken County Farmers Market,http://www.VisitAikenSC.com,,897 Richland Avenue East,Aiken,Aiken,South Carolina,29801
Airport Farmers and Flea Market,,https://www.facebook.com/pages/Airport-Farmers-and-Flea-Market/,17375 Spring Hill Dr,Brooksville,Hernando,Florida,34604
Akebono Farmers’ Market,,,Akebono Parking Lot,Pahoa,Hawaii County,Hawaii,
Akers of Strawberries,,,1054 Melton Rd.,Baker,Okaloosa,Florida,32531
Akron Farmers Market,,,City Park,Akron,Plymouth,Iowa,51031
Akwesasne Farmers Market,,,"469 State Route 37, across from Akwesasne Sports",Hogansburg,Franklin,New York,
Alabama Gulf Coast Market,,,22250 Perdido Beach Boulevard,Gulf Shores,Baldwin,Alabama,36542
Alachua County Farmers' Market,http://www.441market.com,https://www.facebook.com/441acfmarket,5920 NW 13th Street,Gainesville,Alachua,Florida,32653
Alamance County Farmers Market,,,200 S. Main St.,Burlington,Alamance,North Carolina,27215
Alameda Farmers' Market,http://www.pcfma.com,https://www.facebook.com/AlamedaFarmersMarket,Haight and Webster St.,Alameda,Alameda,California,
Alamo Farmers Market,,,Buckhorn Ranch Road,Alamo,Lincoln,Nevada,89001
Alamogordo Alameda Park Farmers' Market,http://farmersmarketsnm.org/Shoppers/FindMarket/find.php,https://www.facebook.com/AlamedaParkFarmersMkt,1987 White Sands Blvd,Alamogordo,Otero,New Mexico,
Alamogordo Otero County Farmers' Market,http://farmersmarketsnm.org/Shoppers/FindMarket/find.php,,401 Fairgrounds Rd,Alamogordo,Otero,New Mexico,
Alamosa Farmers Market,http://www.alamosafarmersmarket.org,https://www.facebook.com/pages/Alamosa-Farmers-Market/104375596315429?fref=ts,Corner of 6th Street and State Avenue's Municipal Parking Lot,Alamosa,Alamosa,Colorado,81101
Albany  Downtown Farmers Market,http://www.eastbaker.net,,Corner of W. Broad Ave. & N. Jackson St.,Albany,Dougherty,Georgia,31702
Albany Farmers' Market,http://www.locallygrown.org,https://www.facebook.com/Corvallis.Albany.Farmers.Markets,4th Avenue & Ellsworth Street,Albany,Linn,Oregon,97321
Albert Lea Farmers Market,http://www.albertleafarmersmarket.com,https://www.facebook.com/pages/Albert-Lea-Farmers-Market/191640457536251,147 N. Broadway Ave,Albert Lea,Freeborn,Minnesota,56007
Alberta Farmers Market,,,1500 NE Alberta Street,Portland,Multnomah,Oregon,97211
ALBERTA FARMERS MARKET,,,21724 Highway 5 ,ALBERTA,WILCOX,Alabama,36720
Albion Farmer's Market,http://greateralbionchamber.org,,211 Market Place,Albion,Cass,Michigan,49224
Albuquerque Downtown Growers' Market,http://DowntownGrowers.com,https://www.facebook.com/downtowngrowers?focus_composer=true&ref_type=bookmark,800 Central Ave,Albuquerque ,Bernalillo,New Mexico,87102
Albuquerque Northeast Farmers' Market,http://www.abqnemarket.org,https://www.facebook.com/abqnemarket?fref=ts,6400 Wyoming Blvd,Albuquerque,Bernalillo,New Mexico,
Albuquerque VA Growers' Market,,,1501 San Pedro Drive SE,Albuquerque,Bernalillo,New Mexico,
Alcona Farmers Market,http://www.alconalocalfoods.org,,320 S. State Steet   (US23),Harrisville,Alcona,Michigan,48740
Alderson Farmers Market ,http://www.aldersonmarket.org,https://www.facebook.com/aldersonfood,Rt. 3  Main Street,Alderson ,Greenbrier,West Virginia,24910
Aldrich Arena Farmers Market,http://www.stpaulfarmersmarket.com,,1850 White Bear Ave.,Maplewood,Ramsey,Minnesota,55109
Alexander City Downtown Market,http://www.mainstreetac.org,,Braod Street,Alexander City,Tallapoosa,Alabama,35010
Alexander County Farmers Market,,,280 NC Hwy 16 South,Taylorsville ,Alexander,North Carolina,28681
Alexandria Bay Farmers Market,http://www.visitalexbay.org,https://www.facebook.com/pages/Alexandria-Bay-Chamber-of-Commerce/82504121853,Route 12,Alexandria Bay,Jefferson,New York,13607
Alexandria Farmers Market,http://www.alexandriava.gov/market/farmersmarket.html,,"301 King St., Market Square",Alexandria,Alexandria,Virginia,22314
Alexandria Farmers' Market,http://www.mfma.org/alexandria,,2nd and Broadway,Alexandria,Douglas,Minnesota,56308
alfred farmers market,http://alfredfarmersmarket.com/,https://www.facebook.com/Alfredfarmersmarket,Viliage bandstand on Main,alfred,Allegany,New York,14802
Algoma Farm Market,,,SECOND ST. & CLARK STREET,Algoma,Kewaunee,Wisconsin,
Algonquin Farmers Market,,,Washington St & S Harrison St.,Algonquin,,Illinois,60102
Alii Garden Market Place,,,75-6129 Alii Drive,Kailua-Kona,,Hawaii,96740
Alisal Certified Farmers' Market,http://www.everyonesharvest.org,https://www.facebook.com/EveryonesHarvest,632 East Alisal Street,Salinas,Monterey,California,93905
All Locally Grown Produce,http://www.teenaspridecsa.com,https://www.facebook.com/teenaspridecsa,20025 SW 270 Street,Homestead,Miami-Dade,Florida,33031
All Saints' Farmers Market,,https://www.facebook.com/allsaintsfarmersmarket,1508 S. White Station,Memphis,Shelby,Tennessee,38117
All-Local Farmers Market,http://www.stateplate.org,,711 Whaley St,Columbia,Richland,South Carolina,29205
All-Local Farmers Market 2,http://www.localharvest.org,,Rosewood market on Rosewood Drive at Maple Street,Columbia,Richland,South Carolina,
Allamakee Farmers Market,,,1013 Rossville Road,Waukon,Allamakee,Iowa,52172
Allegan Farmers Market,,,Water & Cutler,Allegan,Allegan,Michigan,49010
Alleghany Farmers Market,http://www.alleghanyfarmersmarket.com,https://www.facebook.com/pages/Alleghany-Farmers-Market/102331033194610,HWY 18 N,Sparta,Alleghany,North Carolina,28675
Allen County Farmers' Market,,,4-20 S. Washington St.,Iola,Allen,Kansas,66749
Allen Street Farmers Market,http://www.allenmarketplace.org/farmers-market/,https://www.facebook.com/AllenStreetFarmersMarket,1619 E. Kalamazoo,Lansing,Ingham,Michigan,48912
Allendale County Farmers Market,,,Corner of Bay Street & US Highway 301,Allendale,Allendale,South Carolina,29810
Allentown Farigrounds Farmers Market,http://www.fairgroundsfarmersmkt.com,,1825 Chew Street,Allentown,Lehigh,Pennsylvania,18104
Allentown Turnpike Plaza Farmers Market,,,Route 9,Allentown,Lehigh,Pennsylvania,18104
Alliance Farmers Market,,,3rd & Box Butte Ave.,Alliance,Box Butte,Nebraska,69301
Alliance Farmers' Market,http://www.alliancefarmersmarket.com,https://www.facebook.com/alliancefarmersmarket,Corner of E. Main St. and Mechanic Ave.,Alliance,Stark,Ohio,44601
Alliance for the Arts GreenMarket,http://www.artinlee.org,https://www.facebook.com/pages/Alliance-for-the-Arts-GreenMarket/224616377554765,10091 McGregor Boulevard,Ft. Myers,Lee,Florida,33919
Allston Farmers' Market,http://www.dining.harvard.edu/flp/ag_market.html,,175 North Harvard Street,Allston,Middlesex,Massachusetts,2134
Allston Village Farmers Market,http://www.allstonbrightoncdc.org/,https://www.facebook.com/AllstonVillageFarmersMarket,500 Cambridge St.,Boston,Suffolk,Massachusetts,2134
Alma Farmers Market,,,"City Auditorium on Main Street, Downtown",Alma,Harlan,Nebraska,68920
Alma Farmers' Market,,,Pine & Downie Streets,Alma,Gratiot,Michigan,48801
Almont Farmers' Market,http://www.almontfarmersmarket.com,,Van Dyke at School Street (northwest corner),Almont,Lapeer County,Michigan,
Aloha Farmers Market,http://www.alohafarmersmarket.com,,18631 SW Tualatin Valley Hw,Aloha,Washington,Oregon,97007
Alpena Farmers' Market,http://alpenafarmersmarket.org,Friends of the Alpena Farmers Market,208 N 1st Ave.,Alpena ,Alpena,Michigan,49707
Alpha Nursery Farmers' Market,http://www.alpha-nursery.com,,"12 Alpha Lane,",Cascade,Valley,Idaho,83611
Alsip Farmers Market,http://www.alsipparks.org,,12521 S. Kostner Avenue,Alsip,Cook,Illinois,60803
Altadena Farmers' Market,http://www.altadenafarmersmarket.com,https://www.facebook.com/AltadenaFarmersMarket,600 W. Palm Street,Altadena,Los Angeles,California,91001
Altamont Farmer's Market,,,Main Street & Maple Avenue,Altamont,Albany,New York,12009
Altavista Farmers Market,http://www.ci.altavista.va.us,,Trade Lot,Altavista,Campbell,Virginia,24517
Alton Farmers' and Artisans' Market,http://www.DowntownAlton.com,https://www.facebook.com/AltonFarmersMarket,551 Landmarks Blvd.,Alton,Madison,Illinois,62002
Altoona Farmers Market,,,Heritage Plaza,Altoona,Blair,Pennsylvania,16601
Altus Farmers Market,,,1116 North Main ST,Altus,Jackson,Oklahoma,73521
Alum Rock Village Farmers' Market,http://www.pcfma.com/market_home.php?market_id=43,,57 N White Rd.,San Jose,Santa Clara,California,95127
Alva Farmers Market,,,102 North 2d,Alva,Woods,Oklahoma,73717
Amador Farmers' Market-- Jackson,http://www.amadorfarmersmarket.com,,Jackson Library/ True Value,Jackson,Amador,California,95642
Amador Farmers' Market-- Pine Grove,http://www.amadorfarmersmarket.com,,Hwy 88 at Irishtown Rd.,Pine Grove,Amador,California,95665
Amador Farmers' Market-- Sutter Creek,http://www.amadorfarmersmarket.com,,Eureka St. & Highway 49,Sutter Creek,Amador,California,95685
Ambridge Farmers Market,,,St. Mary's Church Parking Lot,Ambridge,Beaver,Pennsylvania,15003
Amelia Barter Town Farmers Market,http://www.Ameliamarket.org,https://www.facebook.com/AmeliaBarterTown,Farmers Market at the Fairgrounds,Amelia Court House ,Amelia,Virginia,23002
Amelia Earhart Farmers Market,http://urbanoasisproject.org,https://www.facebook.com/ameliaearhartfarmersmarket, 401 East 65th Street,Hialeah ,Miami-Dade,Florida,33013
Amelia Farmers Market,http://www.ameliafarmersmarket.com,https://www.facebook.com/AmeliaFarmersMarket,6800 First Coast Hwy,Amelia Island,Nassau,Florida,32034
Amenia Farmers Market,,,4988 Route 22,,Dutchess,New York,
American Falls Farmers Market,,,City Park on Idaho St.,American Falls,,Idaho,83211
American National Bank Downtown Farmers Market Festival,,,5th and Rood Avenue,Grand Junction,,Colorado,
Amerisafe Downtown Pavilion & Farmers Market,http://www.cityofderidder.org,,120 North Washington Av,DeRidder,,Louisiana,70634
Amery Farmers Market,,,Sooline Park,Amery,Polk,Wisconsin,54001
Ames Main Street Farmers' Market,http://www.amesmainstreetfarmersmarket.com,Ames Main Street Farmers Market,300 & 400 Main Street,Ames ,Story,Iowa,50010
Amherst Farmers Market,,,Church Street,Amherst,Hillsborough,New Hampshire,3031
Amherst Farmers' Market,http://www.AmherstFarmersMarket.com,https://www.facebook.com/pages/Amherst-Farmers-Market/112695142075630,Spring Street Parking Lot,Amherst Center,Hampshire,Massachusetts,1002
Amherst Wednesday Market at Kendrick Park,http://www.kendrickparkmarket.com,https://www.facebook.com/pages/Wednesday-Market-at-Kendrick-Park/210000299034343,Kendrick Park Intersection of North and East Pleasant st.,Amherst,Hampshire,Massachusetts,1004
Amherst Winter Farmers' Market,http://www.amherstwintermarket.com,https://www.facebook.com/pages/Amherst-Winter-Farmers-Market/107328206002708,170 Chestnut Street,Amherst,Hampshire,Massachusetts,1002
Amma Farmers Market,,,Amma Senior and Community Center,Amma,Roane,West Virginia,25252
Amqui Station Farmers Market,http://www.amquistation.org/farmers-market,https://www.facebook.com/AmquiStation,301 B Madison Street,Madison,Davidson,Tennessee,37115
Anaconda Community Market,http://www.anacondacommunityfoundation.org,https://www.facebook.com/groups/478915098830452/,401 E Commercial,Anaconda-Deer Lodge County,Deer Lodge,Montana,59711
Anacortes Farmers Market,http://www.anacortesfarmersmarket.org,https://www.facebook.com/AnacortesFarmersMarket,611 R Avenue,Anacortes,Skagit,Washington,98221
Anamoose Market in the Park,,https://www.facebook.com/AnamooseMarketInThePark,Main Street,Anamoose,McHenry,North Dakota,58710
Anamosa Farmers Market,,,Corner of Scott and Main Streets,Anamosa,Jones,Iowa,52205
Anchorage Farmers Market,http://www.anchoragefarmersmarket.org,,1420 Cordova Street,Anchorage,Anchorage,Alaska,99645
Anchorage Market & Festival,http://www.anchoragemarkets.com,,3rd Avenue and E Street,Anchorage,Anchorage,Alaska,99501
Anderson City Market ,http://www.andersoncitymarket.org/,https://www.facebook.com/AndersonCityFarmersMarket,11th and Meridian ,Anderson ,Madison,Indiana,46016
Anderson County Farmers Market,http://andersoncountysc.org/web/Farmers_00.asp,https://www.facebook.com/andersoncountyfarmersmarket,402 N. Murray Ave.,Anderson,Anderson,South Carolina,29621
Anderson County Farmers Market ,,https://www.facebook.com/AndersonCoFarmersMarket,1505 Bypass US 127 North,Lawrenceburg ,Anderson,Kentucky,40342
Anderson Farm Market,,,1240 Clifton Rd,Xenia,Greene,Ohio,45385
Anderson Farmers' Market,http://www.andersonfarmersmarket.org,,7832 Five Mile Road,Cincinnati,Hamilton,Ohio,45230
Anderson Happy Valley Farmers Market,,,Happy Valley Rd.,Anderson,Shasta,California,96007
Andersonville Farmers Market,http://www.andersonville.org,https://www.facebook.com/andersonville?ref=bookmarks,1500 W. Berwyn Ave.,Chicago,Cook,Illinois,60640
Andover Farmers Market,,,13655 Round Lake Blvd. NW,Andover,Anoka,Minnesota,
Andover Farmers Market,http://andoverhistorical.org/market,https://www.facebook.com/andoverfarmersmarket,97 Main Street,Andover,Essex,Massachusetts,MA
Andrews Farmers Market,http://www.andrewsfarmersmarket.com,,First Street,Andrews,Cherokee,North Carolina,
Angelica Farmers' Market,http://www.localharvest.org/angelica-farmers-market-M23451,https://www.facebook.com/AngelicaFarmersMarket,"Park Circle, Main Street",Angelica,Allegany,New York,14709
Angelina County Farmers Market,http://visitlufkin.com/ShopDine/FarmersMarket/,https://www.facebook.com/angelinacountyfarmmarket/settings?tab=public&section=web_address,2107 S Medford Dr ,Lufkin ,Angelina,Texas,75901
Angels Camp Farmers Market-Fresh Fridays,http://www.angelscampbusiness.com/events/fresh-fridays/,,"Utica Park, Utica Lane",Angels Camp,Calaveras,California,95222
Ann Arbor Farmers Market,http://www.a2gov.org/market,https://www.facebook.com/a2market,315 Detroit Street,Ann Arbor,Washtenaw,Michigan,48104
Anna House Farmers Market,http://www.childcarenassau.org,www.facebook.com/longislandfarmtopreschool,2150 Hempstead Tpke,Elmont ,Nassau,New York,11003
Anna/Union County Farmers Market,,,1150 E Vienna St.,Anna,Union,Illinois,62906
Annandale Farmers Market,https://www.fairfaxcounty.gov/parks/farmersmarkets,,6621 Columbia Pike,Annandale,Fairfax,Virginia,22003
Annapolis FRESHFARM Market,http://www.freshfarmmarkets.org/markets/annapolis.html,,Compromise Street,Annapolis,Anne Arundel,Maryland,21401
Anne Arundel County (Riva),http://www.aacofarmersmarket.com/,https://www.facebook.com/AnneArundelGOP,Riva Road & Harry S Truman pkwy,Annapolis,Anne Arundel,Maryland,21401
Anne Heyliger Vegetable Market,,,Queen Cross Street,Saint Croix,Frederiksted,Virgin Islands,
Anniston Downtown Farmers Market,http://www.spiritofanniston.org,,14th & Gurnee,Anniston,Calhoun,Alabama,36201
Anoka County Growers Association/ Anoka Market,,,420 E. Main Street,Anoka,Anoka,Minnesota,55303
Anoka County Growers/ St. Timothy Church Blaine,,,707 89th Ave. NE,Blaine,Anoka,Minnesota,
Anoka County Growers/Immaculate Conception Church,,,40th and Jackson Street,Columbia Heights,Anoka,Minnesota,
Anselma Farmers' and Artisans' Market,,https://www.facebook.com/anselmamarket,1730 Conestoga Road/Rt 401,Chester Springs,Chester,Pennsylvania,19425
Anson County Farmers Market,,,1736 Hwy 52 South,Wadesboro,Anson,North Carolina,28170
Anthem Community Farmers Market,http://www.Arizonafarmersmarkets.com,https://www.facebook.com/pages/Anthem-Farmers-Market/608872579141231,41703 N Gavilan Peak Parkway,Anthem ,Maricopa,Arizona,85086
Anthony Farmers Market,,,Corner of West Main and Lawrence,Anthony,Harper,Kansas,67003
"Antigo Farmers Market, Inc.",http://www.antigomarket.com,https://www.facebook.com/AntigoFarmersMarketInc,700 Superior St,Antigo,Langlade,Wisconsin,54409
Antioch Farmers' Market at Somersville Towne Center,http://www.pcfma.com/market_producers.php?market_id=70,,2600 Somersville Rd.,Antioch,Contra Costa,California,94509
Antrim County Farmers Market,,,Behind Senior Citizen Center,Bellaire,Antrim,Michigan,49615
Appalachian Farmers' Market,http://www.appfarmersmarket.com,,Intersection of Fair Street and Lakeview Drive,Gray,Washington,Tennessee,37615
